Timestamp	Type	X	Y	Z
8652949	ACC	0.27305603	5.4265747	6.2521667
8652959	ACC	0.32688904	5.7089233	6.685272
8652969	ACC	0.34483337	5.8034363	6.684067
8652979	ACC	0.46566772	5.790283	6.6697083
8652989	ACC	0.50634766	5.740036	6.6733093
8652999	ACC	0.44174194	5.8046417	6.7115936
8653009	ACC	0.347229	5.880005	6.7044067
8653019	ACC	0.36517334	5.8895874	6.479492
8653029	ACC	0.42500305	5.838135	6.2126923
8653039	ACC	0.49797058	5.8034363	6.0691223
8653049	ACC	0.44532776	5.793869	6.0284424
8653059	ACC	0.4130249	5.773529	6.0368195
8653069	ACC	0.41423035	5.7675476	6.113388
8653079	ACC	0.47644043	5.7543793	6.233032
8653090	ACC	0.54823303	5.720886	6.4495697
8653100	ACC	0.524292	5.674225	6.873108
8653110	ACC	0.4955902	5.591675	7.288254
8653120	ACC	0.5123291	5.473236	7.6651306
8653130	ACC	0.36637878	5.4433136	7.7345276
8653140	ACC	0.49438477	5.4181976	7.797928
8653150	ACC	0.53266907	5.415802	7.7991333
8653160	ACC	0.5123291	5.5210876	7.802719
8653170	ACC	0.59368896	5.6359406	7.735718
8653180	ACC	0.75042725	5.625168	7.7835693
8653190	ACC	0.8246002	5.6323547	7.9642334
8653200	ACC	0.8880005	5.6682434	7.975006
8653210	ACC	0.84135437	5.641922	7.851776
8653220	ACC	0.80545044	5.6072235	7.6436005
8653231	ACC	0.69059753	5.5282593	7.5777893
8653241	ACC	0.5494232	5.576126	7.7058105
8653251	ACC	0.36517334	5.7890778	7.764435
8653261	ACC	0.8640747	5.506729	7.753662
8653271	ACC	0.41183472	5.724472	7.394745
8653281	ACC	0.19288635	5.6072235	7.111191
8653291	ACC	0.28501892	5.588089	7.0286407
8653301	ACC	0.40345764	5.5856934	7.1757965
8653311	ACC	0.3101349	5.4995575	7.078888
8653321	ACC	0.24433899	5.661072	6.7773895
8653331	ACC	0.3209076	5.728073	6.5919495
8653341	ACC	0.293396	5.620392	6.6709137
8653351	ACC	0.98851013	6.0666504	6.6733093
8653361	ACC	0.9741516	6.003235	6.845581
8653372	ACC	0.7851105	5.949402	7.0525665
8653382	ACC	0.76716614	5.969742	7.222458
8653392	ACC	0.7875061	5.9888763	7.3277435
8653402	ACC	0.63197327	5.9613647	7.338516
8653412	ACC	0.47164917	5.9266663	7.4641266
8653422	ACC	0.38311768	5.864456	7.630432
8653432	ACC	0.20845032	5.8333435	7.723755
8653442	ACC	-0.012893677	5.8118134	7.571808
8653452	ACC	-0.23303223	5.7089233	7.0860596
8653462	ACC	-0.2808838	5.7795105	6.4938354
8653472	ACC	-0.20191956	5.925476	5.787964
8653482	ACC	-0.23182678	5.8907776	5.164627
8653492	ACC	-0.28807068	5.925476	4.7997284
8653502	ACC	-0.37301636	5.974533	4.843994
8653513	ACC	-0.4567566	6.021179	5.275894
8653523	ACC	-0.65057373	6.1001434	5.8812866
8653533	ACC	-0.35147095	6.421982	7.0693207
8653543	ACC	-0.6434021	6.027176	7.4222565
8653553	ACC	-0.85276794	5.732849	7.293045
8653563	ACC	-0.4794922	6.1372375	6.9424896
8653573	ACC	0.1869049	6.5153046	6.585968
8653583	ACC	0.31492615	6.5655518	6.0260468
8653593	ACC	-0.049972534	6.419586	5.1789856
8653603	ACC	-0.8587494	5.945816	4.5137787
8653613	ACC	-1.411499	5.629959	4.2792816
8653623	ACC	-1.2822876	5.5091248	4.239807
8653633	ACC	-1.7189789	5.1537933	4.2493744
8653643	ACC	-0.46632385	5.311722	5.1945343
8653654	ACC	-0.58477783	5.4959564	5.184967
8653664	ACC	-0.29763794	5.785492	5.7089996
8653674	ACC	0.25032043	6.011612	6.2665253
8653684	ACC	1.4263916	6.0869904	6.577591
8653694	ACC	1.5591888	6.3310547	6.7247467
8653704	ACC	1.2002716	6.467453	6.9736023
8653714	ACC	0.9705658	6.7007446	7.3193665
8653724	ACC	1.2194061	6.8849945	7.7919464
8653734	ACC	1.8140259	7.07283	8.251373
8653744	ACC	1.4706573	6.7115173	8.501419
8653754	ACC	0.24673462	5.7352448	8.58876
8653764	ACC	-0.10142517	5.2746277	8.402115
8653774	ACC	0.5003662	5.6036377	8.105408
8653784	ACC	0.8796387	5.751999	7.8709106
8653795	ACC	0.79229736	5.5282593	7.7584534
8653805	ACC	0.7767334	5.385895	7.6902466
8653815	ACC	0.9526062	5.387085	7.605316
8653825	ACC	1.0602875	5.488785	7.5574493
8653835	ACC	1.1093445	5.395462	7.563431
8653845	ACC	1.1595917	5.3488007	7.424652
8653855	ACC	1.2158203	5.4253693	7.181778
8653865	ACC	1.3593903	5.4875946	6.936508
8653875	ACC	1.4586945	5.416992	6.6864624
8653885	ACC	1.3582001	5.353592	6.6445923
8653895	ACC	1.0614929	5.242325	6.690048
8653905	ACC	0.6606903	5.1047363	6.956848
8653915	ACC	0.28979492	4.8786163	7.1973267
8653925	ACC	0.15820313	4.6417236	7.168625
8653936	ACC	0.3316803	4.5747223	6.960449
8653946	ACC	0.3627777	4.5424194	7.062134
8653956	ACC	0.29100037	4.5472107	7.3768005
8653966	ACC	0.44413757	4.5591736	7.4473877
8653976	ACC	0.72888184	4.524475	7.4055023
8653986	ACC	1.04953	4.462265	7.321762
8653996	ACC	1.1500244	4.441925	7.5909576
8654006	ACC	1.1201172	4.3988495	8.058746
8654016	ACC	1.2134247	4.379715	8.826843
8654026	ACC	1.25531	4.2134094	9.420258
8654036	ACC	0.8987732	4.3210907	9.648773
8654046	ACC	0.72888184	4.479019	9.423859
8654056	ACC	0.8066559	4.450302	9.011093
8654066	ACC	0.88082886	4.5053406	8.489456
8654077	ACC	0.9992676	4.7757263	8.051575
8654087	ACC	1.423996	5.000641	7.9319305
