Timestamp	Type	X	Y	Z
244611468	ACC	-1.2214918	3.6490626	8.081778
244611478	ACC	-1.6452655	3.665822	8.74976
244611488	ACC	-1.6787843	3.7280712	8.454076
244611498	ACC	-1.27177	3.7436337	8.236203
244611508	ACC	-0.91623104	3.8130655	8.136844
244611518	ACC	-0.73906016	4.0046015	8.33676
244611528	ACC	-0.66962826	4.270358	8.353519
244611538	ACC	-0.6385037	4.4044333	8.048259
244611548	ACC	-0.5068226	4.3050737	7.695114
244611558	ACC	-0.4002806	4.2524014	7.650821
244611567	ACC	-0.56548053	4.33141	7.9034095
244611577	ACC	-0.8013094	4.5157638	8.175151
244611587	ACC	-0.89707744	4.557662	8.231415
244611597	ACC	-0.6001964	4.507384	8.280497
244611607	ACC	-0.2650082	4.3170447	8.103325
244611617	ACC	0.018704701	4.258387	7.9500966
244611627	ACC	-0.09382278	4.342184	8.062624
244611637	ACC	-0.3835212	4.850952	8.376265
244611647	ACC	-0.20515315	4.7635636	8.653992
244611657	ACC	-0.07826047	4.682161	8.730606
244611667	ACC	-0.17522563	4.7168765	8.78687
244611677	ACC	-0.23148938	4.7072997	8.773702
244611687	ACC	-0.2709937	4.709694	8.838346
244611697	ACC	-0.31169513	4.6905403	8.814404
244611706	ACC	-0.22191256	4.5863924	8.717438
244611716	ACC	0.021098902	4.437952	8.723424
244611726	ACC	0.21502924	4.396054	8.86947
244611736	ACC	0.27608138	4.507384	9.134029
244611746	ACC	0.2988263	4.491822	8.987983
244611756	ACC	0.34072483	4.363732	8.722226
244611766	ACC	0.49155954	4.303877	8.63005
244611776	ACC	0.62922615	4.295497	8.87785
244611786	ACC	0.5717653	4.330213	9.155577
244611796	ACC	0.1479916	4.106355	9.050232
244611806	ACC	-0.031573534	4.0848074	8.661174
244611816	ACC	0.4424784	3.904045	8.571392
244611826	ACC	0.76449853	3.5868134	8.589348
244611835	ACC	0.8063971	3.688567	8.706664
244611845	ACC	0.75133044	3.877709	8.604911
244611855	ACC	0.7214029	4.142268	8.819192
