Timestamp	Type	X	Y	Z
16544224	ACC	1.5035586	1.7429788	6.4547677
16544234	ACC	1.4077905	1.9919758	6.493075
16544244	ACC	1.0534488	1.9919758	6.9719152
16544254	ACC	0.6703765	2.1547816	7.6710224
16544264	ACC	0.33518824	2.2697031	8.159439
16544275	ACC	0.31603462	2.3654714	8.034941
16544285	ACC	0.49799395	2.27928	7.872135
16544295	ACC	0.7278373	2.0685902	7.8146744
16544305	ACC	0.842759	1.7908629	7.5561004
16544315	ACC	0.8523358	1.6376339	7.6231384
16544325	ACC	0.89064306	1.7142484	7.8625584
16544335	ACC	0.94810385	1.8962077	8.149862
16544345	ACC	0.94810385	2.0015526	8.226477
16544355	ACC	0.9576807	1.9440918	7.9966335
16544366	ACC	0.93852705	1.7908629	7.9870567
16544376	ACC	0.8619126	1.685518	8.255207
16544386	ACC	0.6799533	1.6184803	8.580819
16544396	ACC	0.48841715	1.6089035	8.810662
16544406	ACC	0.50757074	1.7238252	9.203311
16544416	ACC	0.7469909	1.8483237	9.442732
16544426	ACC	1.2354081	1.7812861	9.500193
16544436	ACC	1.7621324	1.6950948	9.643845
16544447	ACC	2.1739352	1.6663644	9.816227
16544458	ACC	2.2218192	1.7046716	10.1226845
16544468	ACC	1.982399	1.8195933	10.764331
16544477	ACC	1.532289	2.0494366	11.252748
16544488	ACC	1.1109096	2.2026656	11.482592
16544498	ACC	0.9576807	2.2505496	11.693281
16544508	ACC	1.1013328	2.2409728	11.827356
16544518	ACC	1.3694834	2.030283	11.951855
16544528	ACC	1.2641385	1.3599066	11.980585
16544538	ACC	1.7429788	1.13964	11.884817
16544549	ACC	2.0973208	0.80445176	11.923124
16544559	ACC	2.1930888	0.5554548	11.971008
16544569	ACC	2.1068976	0.41180268	11.81778
16544580	ACC	2.1452048	0.51714754	11.722012
16544590	ACC	2.336741	0.6895301	11.520899
16544600	ACC	2.4995465	0.49799395	11.118672
16544610	ACC	2.5953147	0.31603462	10.840945
16544620	ACC	2.480393	0.16280572	10.697293
16544631	ACC	2.3942018	-0.047884032	10.754754
16544640	ACC	2.6431987	-0.22984336	11.042058
16544651	ACC	3.0454245	-0.36391866	10.94629
16544661	ACC	3.5051112	-0.5650316	10.754754
16544671	ACC	3.9360676	-0.7086837	10.582372
16544681	ACC	4.1276035	-0.7374141	10.314221
16544691	ACC	4.156334	-0.6607997	10.036493
16544701	ACC	3.9839516	-0.48841715	9.844957
16544712	ACC	3.821146	-0.34476504	9.605537
16544722	ACC	3.7253778	-0.38307226	9.452309
16544732	ACC	3.7253778	-0.50757074	9.404425
16544744	ACC	3.7445314	-0.6991069	9.3661175
16544752	ACC	3.7924154	-0.8619126	9.165004
16544762	ACC	3.7253778	-0.94810385	8.992621
16544772	ACC	3.7732618	-0.842759	8.169016
16544782	ACC	4.0797195	-0.7469909	8.389283
16544793	ACC	4.2904096	-0.7374141	8.724471
16544803	ACC	4.3478703	-0.7086837	8.504205
16544813	ACC	4.3861775	-0.7182605	8.465898
16544823	ACC	4.3861775	-0.82360536	8.513782
16544833	ACC	4.4915223	-1.1300632	8.6574335
16544843	ACC	4.606444	-1.5227122	8.791509
16544853	ACC	4.644751	-1.7238252	8.963891
16544863	ACC	4.759673	-1.6567876	8.935161
16544873	ACC	5.0757074	-1.7142484	10.524911
16544883	ACC	5.056554	-1.3215994	11.118672
16544893	ACC	4.2425256	-0.7565677	9.605537
16544903	ACC	4.1180267	-0.2873042	8.925584
16544914	ACC	4.4340615	-0.17238252	9.5385
16544924	ACC	4.261679	-0.5267244	10.218452
16544934	ACC	3.7828386	-0.8810662	10.093954
16544944	ACC	3.7828386	-0.63206923	10.065224
16544954	ACC	3.9552212	-0.48841715	9.394848
16544964	ACC	4.3287168	-0.5746084	9.030929
16544974	ACC	4.644751	-0.7757214	8.781932
16544984	ACC	4.711789	-0.91937345	8.63828
16544994	ACC	4.510676	-0.6991069	8.331821
16545004	ACC	3.5051112	-0.30645782	7.297527
16545015	ACC	2.4229321	0.23942018	6.1004257
16545025	ACC	2.0207062	0.22026655	6.0716953
16545035	ACC	6.9048777	-5.93762	-6.6271505
16545045	ACC	7.240066	-0.7182605	6.4547677
16545055	ACC	4.0892963	-0.34476504	10.43872
16545065	ACC	3.9839516	-0.009576807	11.051635
16545075	ACC	4.501099	-0.24899697	8.111555
16545085	ACC	3.821146	-0.22984336	4.098873
16545095	ACC	2.2122424	-0.50757074	0.60333884
16545105	ACC	6.397307	1.283292	-3.7062242
16545115	ACC	3.2082303	0.78529817	-1.1300632
16545125	ACC	5.085284	0.36391866	2.7868507
16545136	ACC	4.999093	0.82360536	8.6574335
16545146	ACC	4.4244847	0.33518824	11.540052
16545156	ACC	2.8634653	-0.5267244	15.543158
16545166	ACC	1.3790601	-0.40222588	11.722012
16545176	ACC	0.79487497	-0.40222588	6.7803793
16545186	ACC	0.35434186	-1.484405	6.7133417
16545196	ACC	0.38307226	-1.3503298	10.457873
16545207	ACC	0.9864111	-1.0726024	10.793061
16545217	ACC	1.9632454	-0.641646	9.107543
16545227	ACC	2.719813	-0.20111294	8.513782
16545237	ACC	2.825158	0.076614454	8.839393
16545247	ACC	2.767697	0.37349546	9.404425
16545257	ACC	2.7964275	0.39264908	9.308656
16545268	ACC	3.083732	0.18195933	9.184157
16545278	ACC	3.572149	-0.009576807	9.165004
16545288	ACC	4.1659107	-0.12449849	9.011775
16545298	ACC	4.3957543	-0.17238252	8.724471
16545308	ACC	4.1659107	-0.36391866	8.801085
16545319	ACC	3.5434184	-0.5363012	9.136273
16545329	ACC	2.6910827	0.12449849	8.801085
16545339	ACC	2.1068976	0.5363012	7.8912888
16545349	ACC	-0.16280572	0.60333884	6.4260373
16545359	ACC	-1.436521	0.15322891	8.513782
16545370	ACC	-1.7525556	0.06703765	10.764331
16545380	ACC	-0.9864111	0.35434186	11.176133
16545391	ACC	0.21068975	0.6991069	10.563218
16545401	ACC	1.2354081	0.81402856	9.586384
16545411	ACC	1.2354081	0.2873042	7.479486
16545421	ACC	1.7142484	0.25857377	6.0621185
16545431	ACC	2.6527755	0.34476504	8.734048
16545442	ACC	2.815581	0.21068975	12.823344
16545452	ACC	1.8100165	0.10534488	11.492168
16545462	ACC	1.8674773	0.06703765	9.279925
16545472	ACC	1.6950948	0.047884032	9.203311
16545483	ACC	1.541866	0.10534488	9.346964
16545493	ACC	1.5514427	0.11492168	9.299079
16545503	ACC	1.5227122	0.076614454	9.193734
16545513	ACC	1.5610195	-0.047884032	9.126697
16545523	ACC	1.6280571	-0.019153614	9.260772
16545533	ACC	1.541866	0.009576807	9.3661175
16545544	ACC	1.3599066	0.12449849	9.212888
16545554	ACC	1.292869	0.22026655	9.232041
16545564	ACC	1.3024458	0.22984336	9.3661175
16545574	ACC	1.388637	0.36391866	9.308656
16545585	ACC	1.388637	0.23942018	9.165004
16545595	ACC	1.4173675	0.1340753	9.14585
16545605	ACC	1.532289	0.25857377	9.050082
16545615	ACC	1.4748282	0.19153613	9.165004
16545625	ACC	1.3790601	0.047884032	9.222465
16545636	ACC	1.3024458	-0.019153614	9.088389
16545646	ACC	1.2641385	-0.02873042	9.107543
16545656	ACC	1.1492168	0.02873042	9.241618
16545666	ACC	1.0821792	0.076614454	9.308656
16545676	ACC	1.0247183	0.21068975	9.375694
16545686	ACC	0.89064306	0.23942018	9.442732
16545697	ACC	0.61291564	0.21068975	9.634268
16545707	ACC	1.0055647	0.08619126	9.624691
16545717	ACC	0.9672575	-0.06703765	9.528923
16545728	ACC	2.1164744	-0.095768064	9.481039
16545738	ACC	2.6910827	-0.2681506	10.04607
16545748	ACC	2.4995465	-0.45010993	10.036493
16545758	ACC	2.1164744	-0.45968673	9.768343
16545771	ACC	2.4133554	0.2777274	9.270349
16545781	ACC	2.3942018	0.6512229	9.32781
16545791	ACC	1.6472107	0.2777274	9.337387
16545802	ACC	0.8810662	-0.6512229	9.749189
16545812	ACC	0.33518824	-1.4077905	9.643845
16545822	ACC	-0.22984336	-1.6184803	9.414001
16545832	ACC	-0.4309563	-1.0630256	8.935161
16545842	ACC	-0.79487497	-0.25857377	9.193734
16545853	ACC	-0.8331822	0.5363012	9.720459
16545863	ACC	-0.8523358	0.8619126	9.931149
16545873	ACC	-0.7661445	0.7757214	9.701305
16545883	ACC	-0.2681506	0.82360536	10.084377
16545893	ACC	0.08619126	0.90979666	10.70687
16545903	ACC	0.1436521	1.1683705	10.697293
16545913	ACC	-0.30645782	1.7908629	10.477027
16545923	ACC	-1.0821792	2.4612393	10.553641
16545934	ACC	-1.4652514	3.265691	10.448297
16545944	ACC	-0.6895301	4.223372	10.611102
16545954	ACC	-0.545878	4.865018	11.18571
16545964	ACC	-1.5035586	3.8498764	11.9614315
16545974	ACC	-2.0685902	3.2369606	11.262324
16545984	ACC	-2.4420857	3.3614593	10.457873
16545994	ACC	-2.7006595	4.0797195	9.720459
16546004	ACC	-2.9400797	4.4340615	9.557653
16546015	ACC	-2.719813	4.31914	8.983045
16546025	ACC	-2.5474305	3.9264908	7.144298
16546035	ACC	-2.5091233	3.9456444	7.8625584
16546045	ACC	-2.6719291	4.606444	8.494628
16546056	ACC	-2.9879637	5.391742	9.308656
16546066	ACC	-3.41892	5.8226986	9.835381
16546076	ACC	-3.9360676	5.9280434	9.883265
16546086	ACC	-3.8786068	5.267244	9.816227
16546096	ACC	-3.1028855	4.8937483	9.701305
16546107	ACC	-2.2697031	4.8362875	9.174581
16546117	ACC	-1.6472107	5.1235914	8.24563
16546128	ACC	-1.5131354	5.6407394	7.3645644
16546138	ACC	-1.9728222	6.1387334	6.9527617
16546148	ACC	-2.633622	6.435614	6.7708025
16546158	ACC	-3.074155	6.5218053	6.83784
16546169	ACC	-2.9496565	6.2345014	6.991069
