Timestamp	Type	X	Y	Z
140633195	ACC	1.2294226	8.054094	5.3522377
140633201	ACC	1.1803415	8.01459	5.321113
140633211	ACC	1.1312603	8.075643	5.246893
140633218	ACC	1.1312603	8.240842	5.1343656
140633230	ACC	1.0833763	8.432379	5.081693
140633241	ACC	1.0378864	8.459911	5.073313
140633252	ACC	1.0031705	8.433576	5.0481744
140633261	ACC	0.9516952	8.392874	5.0397944
140633270	ACC	0.9528923	8.457518	4.972757
140633279	ACC	0.90979666	8.561666	4.9823337
140633289	ACC	0.82480246	8.620323	5.020641
140633298	ACC	0.89902276	8.584411	5.021838
140633310	ACC	0.9947908	8.4108305	5.1583076
140633319	ACC	0.9672575	8.301894	5.2169657
140633329	ACC	1.0749966	8.1881695	5.267244
140633338	ACC	1.091756	8.171411	5.318719
140633349	ACC	1.0833763	8.136695	5.2804117
140633359	ACC	1.0642227	8.161834	5.237316
140633370	ACC	1.0007763	8.222886	5.33069
140633378	ACC	1.0594343	8.318654	5.386954
140633389	ACC	1.1049241	8.352173	5.4204726
140633398	ACC	1.1384429	8.306683	5.4025164
140633409	ACC	1.0881647	8.258799	5.3259015
140633418	ACC	1.0606314	8.347384	5.3678
140633430	ACC	1.0498575	8.384495	5.409699
140633438	ACC	1.0223241	8.34499	5.445612
140633450	ACC	1.0079589	8.286332	5.451597
140633458	ACC	1.0295067	8.215703	5.4312468
140633469	ACC	1.0307038	8.2169	5.365406
140633478	ACC	1.0618285	8.165425	5.297171
140633490	ACC	1.0582372	8.231265	5.3474493
140633498	ACC	1.1575965	8.214506	5.273229
140633510	ACC	1.0390835	8.171411	5.195418
140633518	ACC	1.1767502	8.166622	5.159505
140633529	ACC	1.103727	8.15106	5.17387
140633538	ACC	1.0582372	8.149862	5.1319714
140633550	ACC	1.0570401	8.062474	5.0781016
140633558	ACC	1.0582372	8.001422	4.951209
140633570	ACC	1.2473791	8.056489	4.892551
140633578	ACC	1.0666169	8.167819	5.00867
140633590	ACC	1.1336545	8.165425	5.116409
140633598	ACC	0.93014735	8.143877	5.1762643
140633610	ACC	1.009156	8.22528	5.3438582
140633618	ACC	0.90979666	8.312668	5.4420204
140633628	ACC	0.9588778	8.323442	5.3223104
140633631	ACC	0.9588778	8.323442	5.3223104
140633638	ACC	0.9564836	8.224083	5.2756233
140633650	ACC	0.866701	8.263587	5.3845596
140633658	ACC	0.8559271	8.367735	5.533
140633670	ACC	0.89064306	8.4647	5.619191
140633678	ACC	0.8511387	8.508993	5.3582234
140633690	ACC	0.8535329	8.402451	5.1930237
140633698	ACC	0.88944596	8.25401	5.153519
140633710	ACC	0.9684546	8.24563	5.21098
140633718	ACC	1.0307038	8.324639	5.368997
140633731	ACC	0.9828198	8.425196	5.7736173
140633738	ACC	0.82480246	8.376115	5.391742
140633749	ACC	0.9588778	8.250419	5.2145715
140633758	ACC	1.0390835	8.204929	5.118803
140633770	ACC	1.0929531	8.248025	5.1379566
